scope,date,name,code,gas_in_storage_twh,working_gas_volume_twh,fill_pct,consumption_gwh_per_day,injection_gwh_per_day,withdrawal_gwh_per_day,net_withdrawal_gwh_per_day,injection_capacity_gwh_per_day,withdrawal_capacity_gwh_per_day,trend_pct,status,full_pct,norm_5y_fill_pct,source
DE,2020-01-01,Germany,DE,238.5772,246.2389,96.89,871,19.18,551.1,531.9,3847.7,6598.17,0,E,96.89,,GIE AGSI+ API v013
DE,2020-01-02,Germany,DE,237.6521,246.2389,96.51,871,23.25,913.9,890.7,3847.7,6598.17,-0.38,E,96.51,,GIE AGSI+ API v013
DE,2020-01-03,Germany,DE,237.0389,246.2389,96.26,871,25.02,609.9,584.9,3847.7,6598.17,-0.25,E,96.26,,GIE AGSI+ API v013
DE,2020-01-04,Germany,DE,236.6694,246.2389,96.11,871,42.81,394.4,351.6,3847.7,6598.17,-0.15,E,96.11,,GIE AGSI+ API v013
DE,2020-01-05,Germany,DE,236.2285,246.2389,95.93,871,29.38,416.9,387.5,3847.7,6598.17,-0.18,E,95.93,,GIE AGSI+ API v013
DE,2020-01-06,Germany,DE,235.4741,246.2271,95.63,871,11.31,772.7,761.4,3847.52,6597.9,-0.31,E,95.63,,GIE AGSI+ API v013
DE,2020-01-07,Germany,DE,234.547,246.225,95.26,871,27.5,962.7,935.2,3847.52,6597.9,-0.38,E,95.26,,GIE AGSI+ API v013
DE,2020-01-08,Germany,DE,233.613,246.225,94.88,871,17.46,932.1,914.7,3847.52,6597.9,-0.38,E,94.88,,GIE AGSI+ API v013
DE,2020-01-09,Germany,DE,233.1977,246.225,94.71,871,34.99,439.9,404.9,3847.52,6597.9,-0.17,E,94.71,,GIE AGSI+ API v013
DE,2020-01-10,Germany,DE,232.8446,246.225,94.57,871,11.6,354.3,342.7,3847.52,6597.9,-0.14,E,94.57,,GIE AGSI+ API v013
DE,2020-01-11,Germany,DE,232.35,246.225,94.36,871,25.24,519.8,494.6,3847.52,6597.9,-0.2,E,94.36,,GIE AGSI+ API v013
DE,2020-01-12,Germany,DE,231.7417,246.225,94.12,871,22.72,628.4,605.6,3847.52,6597.9,-0.25,E,94.12,,GIE AGSI+ API v013
DE,2020-01-13,Germany,DE,231.1563,246.2525,93.87,871,17.22,600.9,583.7,3847.94,6598.52,-0.24,E,93.87,,GIE AGSI+ API v013
