date,consumption_gwh,slp_gwh,rlm_gwh,status,source
2021-12-01,3777.284,1890.716,1886.568,final,Trading Hub Europe AggregatedConsumptionData
2021-12-02,4290.130,2077.323,2212.808,final,Trading Hub Europe AggregatedConsumptionData
2021-12-03,4226.347,2164.736,2061.611,final,Trading Hub Europe AggregatedConsumptionData
2021-12-04,3875.254,2053.868,1821.386,final,Trading Hub Europe AggregatedConsumptionData
2021-12-05,4002.644,2125.732,1876.912,final,Trading Hub Europe AggregatedConsumptionData
2021-12-06,4520.894,2262.774,2258.119,final,Trading Hub Europe AggregatedConsumptionData
2021-12-07,4459.717,2256.387,2203.330,final,Trading Hub Europe AggregatedConsumptionData
2021-12-08,4457.473,2243.475,2213.998,final,Trading Hub Europe AggregatedConsumptionData
2021-12-09,4562.418,2256.717,2305.701,final,Trading Hub Europe AggregatedConsumptionData
2021-12-10,4519.963,2279.876,2240.087,final,Trading Hub Europe AggregatedConsumptionData
2021-12-11,4166.868,2254.222,1912.646,final,Trading Hub Europe AggregatedConsumptionData
2021-12-12,3836.503,2098.549,1737.954,final,Trading Hub Europe AggregatedConsumptionData
2021-12-13,3937.945,1885.236,2052.709,final,Trading Hub Europe AggregatedConsumptionData
2021-12-14,3854.817,1777.798,2077.018,final,Trading Hub Europe AggregatedConsumptionData
2021-12-15,3682.739,1657.998,2024.741,final,Trading Hub Europe AggregatedConsumptionData
2021-12-16,3681.410,1646.106,2035.303,final,Trading Hub Europe AggregatedConsumptionData
2021-12-17,3609.033,1610.300,1998.733,final,Trading Hub Europe AggregatedConsumptionData
2021-12-18,3330.234,1599.882,1730.352,final,Trading Hub Europe AggregatedConsumptionData
2021-12-19,3367.198,1707.792,1659.406,final,Trading Hub Europe AggregatedConsumptionData
2021-12-20,4307.534,2068.939,2238.595,final,Trading Hub Europe AggregatedConsumptionData
2021-12-21,4745.013,2408.427,2336.586,final,Trading Hub Europe AggregatedConsumptionData
2021-12-22,4800.894,2579.714,2221.180,final,Trading Hub Europe AggregatedConsumptionData
2021-12-23,4298.360,2476.064,1822.296,final,Trading Hub Europe AggregatedConsumptionData
2021-12-24,3653.544,2168.654,1484.890,final,Trading Hub Europe AggregatedConsumptionData
2021-12-25,3927.236,2324.550,1602.686,final,Trading Hub Europe AggregatedConsumptionData
2021-12-26,3989.417,2356.961,1632.455,final,Trading Hub Europe AggregatedConsumptionData
2021-12-27,3970.542,2249.394,1721.149,final,Trading Hub Europe AggregatedConsumptionData
2021-12-28,3589.085,1989.689,1599.397,final,Trading Hub Europe AggregatedConsumptionData
2021-12-29,3299.557,1763.534,1536.022,final,Trading Hub Europe AggregatedConsumptionData
2021-12-30,2656.486,1321.425,1335.061,final,Trading Hub Europe AggregatedConsumptionData
2021-12-31,2326.726,1132.602,1194.125,final,Trading Hub Europe AggregatedConsumptionData
2022-01-01,2317.794,1116.273,1201.521,final,Trading Hub Europe AggregatedConsumptionData
2022-01-02,2443.104,1150.748,1292.356,final,Trading Hub Europe AggregatedConsumptionData
2022-01-03,2854.067,1262.394,1591.673,final,Trading Hub Europe AggregatedConsumptionData
2022-01-04,3242.033,1446.737,1795.295,final,Trading Hub Europe AggregatedConsumptionData
2022-01-05,3645.416,1798.101,1847.315,final,Trading Hub Europe AggregatedConsumptionData
2022-01-06,4075.842,2096.987,1978.855,final,Trading Hub Europe AggregatedConsumptionData
2022-01-07,4161.478,2230.235,1931.243,final,Trading Hub Europe AggregatedConsumptionData
2022-01-08,3942.713,2227.242,1715.471,final,Trading Hub Europe AggregatedConsumptionData
2022-01-09,3993.184,2201.079,1792.105,final,Trading Hub Europe AggregatedConsumptionData
2022-01-10,4586.763,2288.515,2298.247,final,Trading Hub Europe AggregatedConsumptionData
2022-01-11,4703.112,2356.386,2346.726,final,Trading Hub Europe AggregatedConsumptionData
2022-01-12,4706.594,2392.764,2313.830,final,Trading Hub Europe AggregatedConsumptionData
2022-01-13,4525.022,2314.347,2210.676,final,Trading Hub Europe AggregatedConsumptionData
2022-01-14,4424.133,2219.501,2204.631,final,Trading Hub Europe AggregatedConsumptionData
2022-01-15,4124.998,2166.670,1958.329,final,Trading Hub Europe AggregatedConsumptionData
2022-01-16,3924.250,2182.913,1741.337,final,Trading Hub Europe AggregatedConsumptionData
2022-01-17,4152.700,2109.763,2042.937,final,Trading Hub Europe AggregatedConsumptionData
2022-01-18,4291.148,2065.852,2225.296,final,Trading Hub Europe AggregatedConsumptionData
2022-01-19,4157.272,2131.898,2025.374,final,Trading Hub Europe AggregatedConsumptionData
2022-01-20,4338.242,2248.685,2089.556,final,Trading Hub Europe AggregatedConsumptionData
2022-01-21,4381.489,2287.830,2093.659,final,Trading Hub Europe AggregatedConsumptionData
2022-01-22,4001.611,2091.293,1910.318,final,Trading Hub Europe AggregatedConsumptionData
2022-01-23,3910.089,1998.746,1911.343,final,Trading Hub Europe AggregatedConsumptionData
2022-01-24,4371.372,2072.815,2298.557,final,Trading Hub Europe AggregatedConsumptionData
2022-01-25,4505.241,2169.937,2335.304,final,Trading Hub Europe AggregatedConsumptionData
2022-01-26,4455.374,2253.093,2202.281,final,Trading Hub Europe AggregatedConsumptionData
2022-01-27,4226.351,2194.435,2031.916,final,Trading Hub Europe AggregatedConsumptionData
2022-01-28,4109.706,2121.876,1987.830,final,Trading Hub Europe AggregatedConsumptionData
2022-01-29,3478.494,1886.153,1592.341,final,Trading Hub Europe AggregatedConsumptionData
2022-01-30,3539.417,1894.138,1645.279,final,Trading Hub Europe AggregatedConsumptionData
2022-01-31,4122.541,2046.637,2075.904,final,Trading Hub Europe AggregatedConsumptionData
2022-02-01,4035.350,2068.399,1966.951,final,Trading Hub Europe AggregatedConsumptionData
2022-02-02,3939.978,1946.875,1993.103,final,Trading Hub Europe AggregatedConsumptionData
2022-02-03,3833.773,1828.275,2005.498,final,Trading Hub Europe AggregatedConsumptionData
2022-02-04,3613.247,1781.901,1831.345,final,Trading Hub Europe AggregatedConsumptionData
2022-02-05,3469.522,1862.602,1606.920,final,Trading Hub Europe AggregatedConsumptionData
2022-02-06,3467.661,1858.490,1609.171,final,Trading Hub Europe AggregatedConsumptionData
2022-02-07,3917.794,1964.724,1953.070,final,Trading Hub Europe AggregatedConsumptionData
2022-02-08,3684.833,1842.357,1842.477,final,Trading Hub Europe AggregatedConsumptionData
2022-02-09,3568.404,1701.330,1867.074,final,Trading Hub Europe AggregatedConsumptionData
2022-02-10,3729.042,1760.399,1968.644,final,Trading Hub Europe AggregatedConsumptionData
2022-02-11,3943.238,1951.155,1992.084,final,Trading Hub Europe AggregatedConsumptionData
2022-02-12,3810.439,2110.357,1700.082,final,Trading Hub Europe AggregatedConsumptionData
2022-02-13,3646.492,2056.118,1590.374,final,Trading Hub Europe AggregatedConsumptionData
2022-02-14,3678.507,1865.874,1812.633,final,Trading Hub Europe AggregatedConsumptionData
2022-02-15,3647.306,1787.384,1859.922,final,Trading Hub Europe AggregatedConsumptionData
2022-02-16,3317.884,1531.473,1786.411,final,Trading Hub Europe AggregatedConsumptionData
2022-02-17,3225.536,1481.809,1743.728,final,Trading Hub Europe AggregatedConsumptionData
2022-02-18,3204.848,1482.481,1722.367,final,Trading Hub Europe AggregatedConsumptionData
2022-02-19,3136.319,1621.202,1515.117,final,Trading Hub Europe AggregatedConsumptionData
2022-02-20,3067.183,1580.578,1486.605,final,Trading Hub Europe AggregatedConsumptionData
2022-02-21,3573.927,1735.725,1838.201,final,Trading Hub Europe AggregatedConsumptionData
2022-02-22,3622.440,1761.226,1861.213,final,Trading Hub Europe AggregatedConsumptionData
2022-02-23,3640.900,1767.518,1873.382,final,Trading Hub Europe AggregatedConsumptionData
2022-02-24,3545.750,1721.360,1824.390,final,Trading Hub Europe AggregatedConsumptionData
2022-02-25,3744.403,1869.382,1875.022,final,Trading Hub Europe AggregatedConsumptionData
2022-02-26,3657.790,1953.667,1704.124,final,Trading Hub Europe AggregatedConsumptionData
2022-02-27,3726.952,2072.447,1654.505,final,Trading Hub Europe AggregatedConsumptionData
2022-02-28,4084.701,2142.576,1942.125,final,Trading Hub Europe AggregatedConsumptionData
2022-03-01,4246.211,2139.793,2106.418,final,Trading Hub Europe AggregatedConsumptionData
2022-03-02,4204.288,2086.577,2117.711,final,Trading Hub Europe AggregatedConsumptionData
2022-03-03,4090.963,2076.909,2014.054,final,Trading Hub Europe AggregatedConsumptionData
2022-03-04,4123.664,2134.126,1989.538,final,Trading Hub Europe AggregatedConsumptionData
2022-03-05,3869.293,2159.164,1710.130,final,Trading Hub Europe AggregatedConsumptionData
2022-03-06,3999.220,2241.024,1758.196,final,Trading Hub Europe AggregatedConsumptionData
2022-03-07,4370.156,2282.836,2087.320,final,Trading Hub Europe AggregatedConsumptionData
2022-03-08,4120.040,2183.766,1936.273,final,Trading Hub Europe AggregatedConsumptionData
2022-03-09,3878.240,2007.592,1870.648,final,Trading Hub Europe AggregatedConsumptionData
2022-03-10,3557.774,1819.239,1738.536,final,Trading Hub Europe AggregatedConsumptionData
2022-03-11,3425.353,1788.131,1637.222,final,Trading Hub Europe AggregatedConsumptionData
2022-03-12,3089.269,1653.093,1436.176,final,Trading Hub Europe AggregatedConsumptionData
2022-03-13,2965.725,1539.451,1426.274,final,Trading Hub Europe AggregatedConsumptionData
2022-03-14,3334.233,1484.840,1849.394,final,Trading Hub Europe AggregatedConsumptionData
2022-03-15,3403.538,1464.078,1939.460,final,Trading Hub Europe AggregatedConsumptionData
2022-03-16,3074.076,1335.888,1738.188,final,Trading Hub Europe AggregatedConsumptionData
2022-03-17,3214.345,1365.212,1849.133,final,Trading Hub Europe AggregatedConsumptionData
2022-03-18,3133.580,1413.674,1719.906,final,Trading Hub Europe AggregatedConsumptionData
2022-03-19,2891.736,1491.298,1400.438,final,Trading Hub Europe AggregatedConsumptionData
2022-03-20,2890.947,1481.684,1409.264,final,Trading Hub Europe AggregatedConsumptionData
2022-03-21,3152.953,1392.489,1760.465,final,Trading Hub Europe AggregatedConsumptionData
2022-03-22,3073.887,1298.477,1775.411,final,Trading Hub Europe AggregatedConsumptionData
2022-03-23,2928.701,1192.763,1735.938,final,Trading Hub Europe AggregatedConsumptionData
2022-03-24,2869.939,1139.401,1730.538,final,Trading Hub Europe AggregatedConsumptionData
2022-03-25,2673.460,1110.759,1562.701,final,Trading Hub Europe AggregatedConsumptionData
2022-03-26,2292.584,1031.831,1260.752,final,Trading Hub Europe AggregatedConsumptionData
2022-03-27,2376.688,1034.633,1342.055,final,Trading Hub Europe AggregatedConsumptionData
2022-03-28,2615.188,1019.235,1595.952,final,Trading Hub Europe AggregatedConsumptionData
2022-03-29,2806.333,1079.313,1727.020,final,Trading Hub Europe AggregatedConsumptionData
2022-03-30,3128.304,1316.017,1812.288,final,Trading Hub Europe AggregatedConsumptionData
2022-03-31,3318.806,1522.970,1795.836,final,Trading Hub Europe AggregatedConsumptionData
2022-04-01,3602.584,1809.604,1792.981,final,Trading Hub Europe AggregatedConsumptionData
2022-04-02,3627.271,1987.762,1639.509,final,Trading Hub Europe AggregatedConsumptionData
2022-04-03,3682.629,2112.102,1570.527,final,Trading Hub Europe AggregatedConsumptionData
2022-04-04,3744.170,2023.474,1720.696,final,Trading Hub Europe AggregatedConsumptionData
2022-04-05,3364.835,1679.658,1685.177,final,Trading Hub Europe AggregatedConsumptionData
2022-04-06,2912.126,1379.657,1532.469,final,Trading Hub Europe AggregatedConsumptionData
2022-04-07,2848.937,1285.068,1563.869,final,Trading Hub Europe AggregatedConsumptionData
2022-04-08,3012.791,1380.984,1631.808,final,Trading Hub Europe AggregatedConsumptionData
2022-04-09,2913.675,1501.241,1412.434,final,Trading Hub Europe AggregatedConsumptionData
2022-04-10,3077.467,1618.007,1459.459,final,Trading Hub Europe AggregatedConsumptionData
2022-04-11,3142.445,1509.676,1632.770,final,Trading Hub Europe AggregatedConsumptionData
2022-04-12,2627.508,1155.420,1472.088,final,Trading Hub Europe AggregatedConsumptionData
2022-04-13,2315.894,830.597,1485.297,final,Trading Hub Europe AggregatedConsumptionData
2022-04-14,2079.301,705.330,1373.971,final,Trading Hub Europe AggregatedConsumptionData
2022-04-15,1994.945,783.213,1211.732,final,Trading Hub Europe AggregatedConsumptionData
2022-04-16,2121.275,944.965,1176.311,final,Trading Hub Europe AggregatedConsumptionData
2022-04-17,2166.841,1057.863,1108.979,final,Trading Hub Europe AggregatedConsumptionData
2022-04-18,2226.650,1040.538,1186.112,final,Trading Hub Europe AggregatedConsumptionData
2022-04-19,2494.254,1044.001,1450.253,final,Trading Hub Europe AggregatedConsumptionData
2022-04-20,2512.398,1020.424,1491.974,final,Trading Hub Europe AggregatedConsumptionData
2022-04-21,2438.931,976.226,1462.705,final,Trading Hub Europe AggregatedConsumptionData
2022-04-22,2220.428,897.010,1323.418,final,Trading Hub Europe AggregatedConsumptionData
2022-04-23,1899.297,796.761,1102.536,final,Trading Hub Europe AggregatedConsumptionData
2022-04-24,2055.552,882.048,1173.504,final,Trading Hub Europe AggregatedConsumptionData
2022-04-25,2542.415,964.421,1577.994,final,Trading Hub Europe AggregatedConsumptionData
2022-04-26,2613.807,1000.138,1613.670,final,Trading Hub Europe AggregatedConsumptionData
2022-04-27,2518.644,967.825,1550.819,final,Trading Hub Europe AggregatedConsumptionData
2022-04-28,2363.196,917.909,1445.286,final,Trading Hub Europe AggregatedConsumptionData
2022-04-29,2254.374,875.780,1378.594,final,Trading Hub Europe AggregatedConsumptionData
2022-04-30,2025.976,875.213,1150.763,final,Trading Hub Europe AggregatedConsumptionData
2022-05-01,1990.078,870.514,1119.564,final,Trading Hub Europe AggregatedConsumptionData
2022-05-02,2200.982,823.804,1377.179,final,Trading Hub Europe AggregatedConsumptionData
2022-05-03,2222.059,779.018,1443.041,final,Trading Hub Europe AggregatedConsumptionData
2022-05-04,2198.845,731.388,1467.457,final,Trading Hub Europe AggregatedConsumptionData
2022-05-05,2123.931,686.506,1437.425,final,Trading Hub Europe AggregatedConsumptionData
2022-05-06,1956.047,600.756,1355.291,final,Trading Hub Europe AggregatedConsumptionData
2022-05-07,1587.736,542.395,1045.341,final,Trading Hub Europe AggregatedConsumptionData
2022-05-08,1640.124,547.099,1093.026,final,Trading Hub Europe AggregatedConsumptionData
2022-05-09,1800.219,472.535,1327.685,final,Trading Hub Europe AggregatedConsumptionData
2022-05-10,1634.942,376.756,1258.186,final,Trading Hub Europe AggregatedConsumptionData
2022-05-11,1525.375,324.281,1201.094,final,Trading Hub Europe AggregatedConsumptionData
2022-05-12,1590.367,341.734,1248.633,final,Trading Hub Europe AggregatedConsumptionData
2022-05-13,1557.541,374.921,1182.620,final,Trading Hub Europe AggregatedConsumptionData
2022-05-14,1386.176,372.459,1013.717,final,Trading Hub Europe AggregatedConsumptionData
2022-05-15,1354.303,353.661,1000.641,final,Trading Hub Europe AggregatedConsumptionData
2022-05-16,1581.584,332.159,1249.425,final,Trading Hub Europe AggregatedConsumptionData
2022-05-17,1652.298,329.681,1322.617,final,Trading Hub Europe AggregatedConsumptionData
2022-05-18,1534.872,270.038,1264.834,final,Trading Hub Europe AggregatedConsumptionData
2022-05-19,1509.649,243.948,1265.701,final,Trading Hub Europe AggregatedConsumptionData
2022-05-20,1388.862,249.766,1139.095,final,Trading Hub Europe AggregatedConsumptionData
2022-05-21,1259.913,305.507,954.406,final,Trading Hub Europe AggregatedConsumptionData
2022-05-22,1354.054,340.357,1013.696,final,Trading Hub Europe AggregatedConsumptionData
2022-05-23,1546.109,338.545,1207.564,final,Trading Hub Europe AggregatedConsumptionData
2022-05-24,1652.344,369.088,1283.256,final,Trading Hub Europe AggregatedConsumptionData
2022-05-25,1549.760,390.994,1158.766,final,Trading Hub Europe AggregatedConsumptionData
2022-05-26,1367.013,387.753,979.260,final,Trading Hub Europe AggregatedConsumptionData
2022-05-27,1479.964,435.938,1044.026,final,Trading Hub Europe AggregatedConsumptionData
2022-05-28,1517.999,528.253,989.746,final,Trading Hub Europe AggregatedConsumptionData
2022-05-29,1730.791,646.633,1084.158,final,Trading Hub Europe AggregatedConsumptionData
2022-05-30,2093.373,697.862,1395.512,final,Trading Hub Europe AggregatedConsumptionData
2022-05-31,1989.750,615.683,1374.067,final,Trading Hub Europe AggregatedConsumptionData
2022-06-01,1911.193,551.107,1360.087,final,Trading Hub Europe AggregatedConsumptionData
2022-06-02,1804.932,486.326,1318.605,final,Trading Hub Europe AggregatedConsumptionData
2022-06-03,1575.394,382.195,1193.199,final,Trading Hub Europe AggregatedConsumptionData
2022-06-04,1254.603,318.118,936.485,final,Trading Hub Europe AggregatedConsumptionData
2022-06-05,1141.516,281.800,859.716,final,Trading Hub Europe AggregatedConsumptionData
2022-06-06,1208.537,287.746,920.791,final,Trading Hub Europe AggregatedConsumptionData
2022-06-07,1562.999,322.204,1240.796,final,Trading Hub Europe AggregatedConsumptionData
2022-06-08,1602.318,342.432,1259.886,final,Trading Hub Europe AggregatedConsumptionData
2022-06-09,1611.438,367.693,1243.745,final,Trading Hub Europe AggregatedConsumptionData
2022-06-10,1490.965,335.742,1155.222,final,Trading Hub Europe AggregatedConsumptionData
2022-06-11,1217.700,292.697,925.003,final,Trading Hub Europe AggregatedConsumptionData
