date,consumption_gwh,slp_gwh,rlm_gwh,status,source
2021-08-01,603.311,172.241,431.070,final,Trading Hub Europe AggregatedConsumptionData
2021-08-02,727.789,186.285,541.504,final,Trading Hub Europe AggregatedConsumptionData
2021-08-03,797.353,204.142,593.211,final,Trading Hub Europe AggregatedConsumptionData
2021-08-04,813.640,205.845,607.795,final,Trading Hub Europe AggregatedConsumptionData
2021-08-05,775.661,198.377,577.284,final,Trading Hub Europe AggregatedConsumptionData
2021-08-06,687.755,183.612,504.143,final,Trading Hub Europe AggregatedConsumptionData
2021-08-07,602.714,173.091,429.624,final,Trading Hub Europe AggregatedConsumptionData
2021-08-08,613.278,180.734,432.544,final,Trading Hub Europe AggregatedConsumptionData
2021-08-09,720.999,185.618,535.380,final,Trading Hub Europe AggregatedConsumptionData
2021-08-10,729.574,179.234,550.340,final,Trading Hub Europe AggregatedConsumptionData
2021-08-11,731.799,162.267,569.531,final,Trading Hub Europe AggregatedConsumptionData
2021-08-12,714.334,141.773,572.561,final,Trading Hub Europe AggregatedConsumptionData
2021-08-13,629.104,130.066,499.038,final,Trading Hub Europe AggregatedConsumptionData
2021-08-14,541.802,125.906,415.896,final,Trading Hub Europe AggregatedConsumptionData
2021-08-15,539.373,122.184,417.189,final,Trading Hub Europe AggregatedConsumptionData
2021-08-16,692.754,149.654,543.100,final,Trading Hub Europe AggregatedConsumptionData
2021-08-17,755.788,190.901,564.887,final,Trading Hub Europe AggregatedConsumptionData
2021-08-18,753.279,200.990,552.289,final,Trading Hub Europe AggregatedConsumptionData
2021-08-19,758.865,200.040,558.824,final,Trading Hub Europe AggregatedConsumptionData
2021-08-20,722.238,183.529,538.709,final,Trading Hub Europe AggregatedConsumptionData
2021-08-21,577.500,156.214,421.287,final,Trading Hub Europe AggregatedConsumptionData
2021-08-22,593.334,163.567,429.767,final,Trading Hub Europe AggregatedConsumptionData
2021-08-23,756.557,174.741,581.816,final,Trading Hub Europe AggregatedConsumptionData
2021-08-24,809.278,197.525,611.754,final,Trading Hub Europe AggregatedConsumptionData
2021-08-25,784.656,208.748,575.908,final,Trading Hub Europe AggregatedConsumptionData
2021-08-26,831.017,231.538,599.480,final,Trading Hub Europe AggregatedConsumptionData
2021-08-27,837.325,256.873,580.452,final,Trading Hub Europe AggregatedConsumptionData
2021-08-28,730.541,262.337,468.204,final,Trading Hub Europe AggregatedConsumptionData
2021-08-29,749.041,271.475,477.566,final,Trading Hub Europe AggregatedConsumptionData
2021-08-30,867.124,254.650,612.474,final,Trading Hub Europe AggregatedConsumptionData
2021-08-31,903.216,250.132,653.085,final,Trading Hub Europe AggregatedConsumptionData
2021-09-01,925.390,244.832,680.557,final,Trading Hub Europe AggregatedConsumptionData
2021-09-02,888.165,231.938,656.226,final,Trading Hub Europe AggregatedConsumptionData
2021-09-03,821.214,222.623,598.591,final,Trading Hub Europe AggregatedConsumptionData
2021-09-04,669.582,205.627,463.955,final,Trading Hub Europe AggregatedConsumptionData
2021-09-05,667.228,188.755,478.473,final,Trading Hub Europe AggregatedConsumptionData
2021-09-06,838.912,184.771,654.141,final,Trading Hub Europe AggregatedConsumptionData
2021-09-07,846.602,177.818,668.784,final,Trading Hub Europe AggregatedConsumptionData
2021-09-08,824.772,167.837,656.934,final,Trading Hub Europe AggregatedConsumptionData
2021-09-09,825.120,158.662,666.458,final,Trading Hub Europe AggregatedConsumptionData
2021-09-10,787.243,159.482,627.760,final,Trading Hub Europe AggregatedConsumptionData
2021-09-11,622.960,160.586,462.375,final,Trading Hub Europe AggregatedConsumptionData
2021-09-12,643.554,172.436,471.117,final,Trading Hub Europe AggregatedConsumptionData
2021-09-13,853.640,189.155,664.485,final,Trading Hub Europe AggregatedConsumptionData
2021-09-14,834.060,179.315,654.745,final,Trading Hub Europe AggregatedConsumptionData
2021-09-15,836.265,171.298,664.968,final,Trading Hub Europe AggregatedConsumptionData
2021-09-16,861.729,190.669,671.060,final,Trading Hub Europe AggregatedConsumptionData
2021-09-17,863.984,219.548,644.436,final,Trading Hub Europe AggregatedConsumptionData
2021-09-18,705.209,239.133,466.077,final,Trading Hub Europe AggregatedConsumptionData
2021-09-19,761.489,270.381,491.108,final,Trading Hub Europe AggregatedConsumptionData
2021-09-20,1038.477,318.997,719.479,final,Trading Hub Europe AggregatedConsumptionData
2021-09-21,1072.900,373.392,699.508,final,Trading Hub Europe AggregatedConsumptionData
2021-09-22,1093.403,381.949,711.454,final,Trading Hub Europe AggregatedConsumptionData
2021-09-23,985.867,343.914,641.953,final,Trading Hub Europe AggregatedConsumptionData
2021-09-24,912.218,301.563,610.656,final,Trading Hub Europe AggregatedConsumptionData
2021-09-25,769.396,256.591,512.805,final,Trading Hub Europe AggregatedConsumptionData
2021-09-26,708.712,225.412,483.300,final,Trading Hub Europe AggregatedConsumptionData
2021-09-27,869.959,221.049,648.910,final,Trading Hub Europe AggregatedConsumptionData
2021-09-28,978.235,267.672,710.563,final,Trading Hub Europe AggregatedConsumptionData
2021-09-29,993.074,330.158,662.917,final,Trading Hub Europe AggregatedConsumptionData
2021-09-30,1128.451,428.140,700.311,final,Trading Hub Europe AggregatedConsumptionData
2021-10-01,2006.583,701.800,1304.783,final,Trading Hub Europe AggregatedConsumptionData
2021-10-02,1688.291,610.800,1077.491,final,Trading Hub Europe AggregatedConsumptionData
2021-10-03,1580.067,506.066,1074.001,final,Trading Hub Europe AggregatedConsumptionData
2021-10-04,1980.396,565.016,1415.380,final,Trading Hub Europe AggregatedConsumptionData
2021-10-05,2032.181,638.871,1393.310,final,Trading Hub Europe AggregatedConsumptionData
2021-10-06,2258.334,748.126,1510.209,final,Trading Hub Europe AggregatedConsumptionData
2021-10-07,2431.154,829.747,1601.407,final,Trading Hub Europe AggregatedConsumptionData
2021-10-08,2347.075,843.750,1503.324,final,Trading Hub Europe AggregatedConsumptionData
2021-10-09,2165.592,915.101,1250.491,final,Trading Hub Europe AggregatedConsumptionData
2021-10-10,2365.906,1063.766,1302.140,final,Trading Hub Europe AggregatedConsumptionData
2021-10-11,2652.941,1088.038,1564.902,final,Trading Hub Europe AggregatedConsumptionData
2021-10-12,2779.689,1139.334,1640.356,final,Trading Hub Europe AggregatedConsumptionData
2021-10-13,2897.807,1197.335,1700.472,final,Trading Hub Europe AggregatedConsumptionData
2021-10-14,2691.334,1108.066,1583.269,final,Trading Hub Europe AggregatedConsumptionData
2021-10-15,2594.789,1083.758,1511.031,final,Trading Hub Europe AggregatedConsumptionData
2021-10-16,2494.893,1134.084,1360.810,final,Trading Hub Europe AggregatedConsumptionData
2021-10-17,2491.427,1141.382,1350.045,final,Trading Hub Europe AggregatedConsumptionData
2021-10-18,2691.087,1097.848,1593.239,final,Trading Hub Europe AggregatedConsumptionData
2021-10-19,2445.904,932.878,1513.026,final,Trading Hub Europe AggregatedConsumptionData
2021-10-20,2142.345,769.157,1373.189,final,Trading Hub Europe AggregatedConsumptionData
2021-10-21,2357.724,864.752,1492.972,final,Trading Hub Europe AggregatedConsumptionData
2021-10-22,2589.510,1064.978,1524.532,final,Trading Hub Europe AggregatedConsumptionData
2021-10-23,2631.586,1199.402,1432.183,final,Trading Hub Europe AggregatedConsumptionData
2021-10-24,2749.923,1352.965,1396.957,final,Trading Hub Europe AggregatedConsumptionData
2021-10-25,3079.158,1348.021,1731.137,final,Trading Hub Europe AggregatedConsumptionData
2021-10-26,2880.168,1223.539,1656.630,final,Trading Hub Europe AggregatedConsumptionData
2021-10-27,2706.829,1101.114,1605.714,final,Trading Hub Europe AggregatedConsumptionData
2021-10-28,2703.047,1086.026,1617.021,final,Trading Hub Europe AggregatedConsumptionData
2021-10-29,2588.561,1057.770,1530.792,final,Trading Hub Europe AggregatedConsumptionData
2021-10-30,2421.027,1047.854,1373.173,final,Trading Hub Europe AggregatedConsumptionData
2021-10-31,2158.696,938.954,1219.742,final,Trading Hub Europe AggregatedConsumptionData
2021-11-01,2474.509,1013.529,1460.981,final,Trading Hub Europe AggregatedConsumptionData
2021-11-02,3022.945,1169.343,1853.603,final,Trading Hub Europe AggregatedConsumptionData
2021-11-03,3293.190,1352.162,1941.028,final,Trading Hub Europe AggregatedConsumptionData
2021-11-04,3373.110,1503.351,1869.759,final,Trading Hub Europe AggregatedConsumptionData
2021-11-05,3284.766,1513.710,1771.056,final,Trading Hub Europe AggregatedConsumptionData
2021-11-06,2940.989,1481.239,1459.750,final,Trading Hub Europe AggregatedConsumptionData
2021-11-07,2905.281,1451.199,1454.082,final,Trading Hub Europe AggregatedConsumptionData
2021-11-08,3436.598,1481.385,1955.213,final,Trading Hub Europe AggregatedConsumptionData
2021-11-09,3453.418,1528.393,1925.025,final,Trading Hub Europe AggregatedConsumptionData
2021-11-10,3751.838,1656.072,2095.766,final,Trading Hub Europe AggregatedConsumptionData
2021-11-11,3783.233,1689.239,2093.994,final,Trading Hub Europe AggregatedConsumptionData
2021-11-12,3694.842,1756.491,1938.351,final,Trading Hub Europe AggregatedConsumptionData
2021-11-13,3286.012,1621.645,1664.367,final,Trading Hub Europe AggregatedConsumptionData
2021-11-14,3193.843,1561.802,1632.042,final,Trading Hub Europe AggregatedConsumptionData
2021-11-15,3721.026,1622.783,2098.243,final,Trading Hub Europe AggregatedConsumptionData
2021-11-16,3776.859,1683.333,2093.526,final,Trading Hub Europe AggregatedConsumptionData
2021-11-17,3567.955,1647.718,1920.237,final,Trading Hub Europe AggregatedConsumptionData
2021-11-18,3380.613,1607.803,1772.810,final,Trading Hub Europe AggregatedConsumptionData
2021-11-19,3137.930,1449.347,1688.583,final,Trading Hub Europe AggregatedConsumptionData
2021-11-20,2860.232,1383.190,1477.041,final,Trading Hub Europe AggregatedConsumptionData
2021-11-21,3117.202,1480.015,1637.186,final,Trading Hub Europe AggregatedConsumptionData
2021-11-22,3808.138,1712.652,2095.486,final,Trading Hub Europe AggregatedConsumptionData
2021-11-23,4055.941,1858.477,2197.465,final,Trading Hub Europe AggregatedConsumptionData
2021-11-24,4145.252,1948.892,2196.359,final,Trading Hub Europe AggregatedConsumptionData
2021-11-25,4278.035,2087.353,2190.681,final,Trading Hub Europe AggregatedConsumptionData
2021-11-26,4154.886,2120.988,2033.897,final,Trading Hub Europe AggregatedConsumptionData
2021-11-27,3984.873,2117.457,1867.416,final,Trading Hub Europe AggregatedConsumptionData
2021-11-28,4090.833,2209.711,1881.122,final,Trading Hub Europe AggregatedConsumptionData
2021-11-29,4510.907,2296.560,2214.347,final,Trading Hub Europe AggregatedConsumptionData
2021-11-30,4132.578,2121.753,2010.825,final,Trading Hub Europe AggregatedConsumptionData
